borough,neighborhood,building_class_category,tax_class_at_present,block,lot,building_class_at_present,address,apartment_number,zip_code,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date
1,ALPHABET CITY,12 CONDOS - WALKUP APARTMENTS,2,393,1018,R2,"383 EAST 10TH STREET, B1",B1,10009.0,,2,R2,0,2022-05-05
1,ALPHABET CITY,12 CONDOS - WALKUP APARTMENTS,2,393,1020,R2,"383 EAST 10TH STREET, D1",D1,10009.0,,2,R2,1375000,2022-06-24
1,ALPHABET CITY,12 CONDOS - WALKUP APARTMENTS,2,398,1003,R2,"182 EAST 2ND STREET, 1C",1C,10009.0,,2,R2,0,2022-06-21
1,ALPHABET CITY,12 CONDOS - WALKUP APARTMENTS,2,407,1118,R2,"503 EAST 13TH STRET, B4",B4,10009.0,,2,R2,1450000,2022-11-21
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,375,1013,R4,"754 EAST 6TH STREET, 4B",4B,10009.0,,2,R4,900000,2022-04-21
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,375,1025,R4,"754 EAST 6TH STREET, 6D",6D,10009.0,,2,R4,1219265,2022-07-19
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,378,1007,R4,"399 EAST 8TH STREET, 3A",3A,10009.0,2014.0,2,R4,952064,2022-07-14
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,384,1221,R4,"310 EAST HOUSTON STREET, PHB",PHB,10002.0,,2,R4,930000,2022-12-06
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,390,1008,R4,"217 EAST 7 STREET, 2C",2C,10009.0,,2,R4,700000,2022-08-17
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,390,1011,R4,"217 EAST 7TH STREET, 3C-D",3C-D,10009.0,,2,R4,1325000,2022-09-02
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,390,1013,R4,"217 EAST 7TH STREET, 4C-D",4C-D,10009.0,,2,R4,1500000,2022-05-18
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,392,1013,R4,"143 AVENUE B, 4B",4B,10009.0,1928.0,2,R4,0,2022-08-03
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,392,1025,R4,"143 AVENUE B, 6D",6D,10009.0,1928.0,2,R4,1030000,2022-04-20
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,392,1035,R4,"143 AVENUE B, 7G",7G,10009.0,1928.0,2,R4,1672500,2022-05-05
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,392,1064,R4,"143 AVENUE B, 12A",12A,10009.0,1928.0,2,R4,1100000,2022-09-27
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,392,1069,R4,"143 AVENUE B, 12F",12F,10009.0,1928.0,2,R4,765000,2022-05-05
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,392,1076,R4,"143 AVENUE B, 14F",14F,10009.0,1928.0,2,R4,690000,2022-04-22
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,392,1077,R4,"143 AVENUE B, 14G",14G,10009.0,1928.0,2,R4,2022222,2022-07-11
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,392,1081,R4,"143 AVENUE B, 15D",15D,10009.0,1928.0,2,R4,1999990,2022-10-14
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,394,1508,R4,"189 AVENUE C, 3C",3C,10009.0,1910.0,2,R4,675190,2022-07-27
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,394,1527,R4,"189 AVENUE C, 7D",7D,10009.0,1910.0,2,R4,750000,2022-08-22
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,394,1535,R4,"189 AVENUE C, 10B",10B,10009.0,1910.0,2,R4,1310000,2022-07-18
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,397,1017,R4,"175 EAST 2ND STREET, 4C",4C,10009.0,,2,R4,0,2022-06-15
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,397,1113,R4,"240 EAST HOUSTON STREET, 4E",4E,10002.0,,2,R4,1580000,2022-06-07
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,397,1118,R4,"240 EAST HOUSTON STREET, 5E",5E,10002.0,,2,R4,1470000,2022-11-15
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,397,1119,R4,"240 EAST HOUSTON STREET, RSTRG",RSTRG,10002.0,,2,R4,1080563,2022-08-24
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,402,1308,R4,"100 AVENUE A, 3B",3B,10009.0,2014.0,2,R4,0,2022-06-09
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,402,1308,R4,"100 AVENUE A, 3B",3B,10009.0,2014.0,2,R4,2252000,2022-04-19
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,402,1317,R4,"100 AVENUE A, 5A",5A,10009.0,2014.0,2,R4,1824000,2022-09-15
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,406,1211,R4,"536 EAST 13TH STREET, 6R",6R,10009.0,2013.0,2,R4,1625000,2022-06-23
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,406,1302,R4,"531 EAST 12TH ST, 2A",2A,10009.0,2009.0,2,R4,0,2022-04-21
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,406,1304,R4,"531 EAST 12TH ST, 2C",2C,10009.0,2009.0,2,R4,1235000,2022-06-15
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,406,1305,R4,"531 EAST 12TH ST, 2D",2D,10009.0,2009.0,2,R4,0,2022-04-21
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,406,1306,R4,"531 EAST 12TH ST, 3A",3A,10009.0,2009.0,2,R4,0,2022-04-21
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,406,1306,R4,"531 EAST 12TH ST, 3A",3A,10009.0,2009.0,2,R4,1295000,2022-05-18
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,406,1309,R4,"531 EAST 12TH ST, 3D",3D,10009.0,2009.0,2,R4,0,2022-04-21
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,406,1309,R4,"531 EAST 12TH ST, 3D",3D,10009.0,2009.0,2,R4,1325000,2022-06-22
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,406,1310,R4,"531 EAST 12TH ST, 4A",4A,10009.0,2009.0,2,R4,0,2022-04-21
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,406,1313,R4,"531 EAST 12TH ST, 4D",4D,10009.0,2009.0,2,R4,0,2022-04-21
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,406,1313,R4,"531 EAST 12TH ST, 4D",4D,10009.0,2009.0,2,R4,1390000,2022-07-29
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,406,1314,R4,"531 EAST 12TH ST, 5A",5A,10009.0,2009.0,2,R4,0,2022-04-21
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,406,1315,R4,"531 EAST 12TH ST, 5B",5B,10009.0,2009.0,2,R4,0,2022-04-21
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,406,1318,R4,"531 EAST 12TH ST, 6A",6A,10009.0,2009.0,2,R4,0,2022-04-21
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,406,1318,R4,"531 EAST 12TH ST, 6A",6A,10009.0,2009.0,2,R4,1280000,2022-05-06
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,406,1319,R4,"531 EAST 12TH ST, 6B",6B,10009.0,2009.0,2,R4,0,2022-04-21
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,406,1319,R4,"531 EAST 12TH ST, 6B",6B,10009.0,2009.0,2,R4,1875000,2022-07-29
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,406,1321,R4,"531 EAST 12TH ST, 6D",6D,10009.0,2009.0,2,R4,1250000,2022-05-19
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,2,406,1322,R4,"531 EAST 12TH ST, 7A",7A,10009.0,2009.0,2,R4,1290000,2022-06-27
